roomidx ,idx ,romname ,minpeople,maxpeople,price,r_check,content,col1,col2
175,44,가을방,4,6,80000,0,,,
176,44,겨울방,8,10,150000,0,,,
177,45,봄방,2,4,50000,0,,,
178,45,여름방,2,6,70000,0,,,
179,45,가을방,4,6,80000,0,,,
180,45,겨울방,8,10,150000,0,,,
181,46,봄방,2,4,50000,0,,,
182,46,여름방,2,6,70000,0,,,
183,46,가을방,4,6,80000,0,,,
184,46,겨울방,8,10,150000,0,,,
185,47,봄방,2,4,50000,0,,,
186,47,여름방,2,6,70000,0,,,
187,47,가을방,4,6,80000,0,,,
188,47,겨울방,8,10,150000,0,,,
189,48,봄방,2,4,50000,0,,,
190,48,여름방,2,6,70000,0,,,
191,48,가을방,4,6,80000,0,,,
192,48,겨울방,8,10,150000,0,,,
193,49,봄방,2,4,50000,0,,,
194,49,여름방,2,6,70000,0,,,
195,49,가을방,4,6,80000,0,,,
196,49,겨울방,8,10,150000,0,,,
197,50,봄방,2,4,50000,0,,,
198,50,여름방,2,6,70000,0,,,
199,50,가을방,4,6,80000,0,,,
200,50,겨울방,8,10,150000,0,,,
201,51,봄방,2,4,50000,0,,,
202,51,여름방,2,6,70000,0,,,
203,51,가을방,4,6,80000,0,,,
204,51,겨울방,8,10,150000,0,,,
205,52,봄방,2,4,50000,0,,,
206,52,여름방,2,6,70000,0,,,
207,52,가을방,4,6,80000,0,,,
208,52,겨울방,8,10,150000,0,,,
209,53,봄방,2,4,50000,0,,,
210,53,여름방,2,6,70000,0,,,
211,53,가을방,4,6,80000,0,,,
212,53,겨울방,8,10,150000,0,,,
213,54,봄방,2,4,50000,0,,,
214,54,여름방,2,6,70000,0,,,
215,54,가을방,4,6,80000,0,,,
216,54,겨울방,8,10,150000,0,,,
217,55,봄방,2,4,50000,0,,,
218,55,여름방,2,6,70000,0,,,
219,55,가을방,4,6,80000,0,,,
220,55,겨울방,8,10,150000,0,,,
221,56,봄방,2,4,50000,0,,,
222,56,여름방,2,6,70000,0,,,
223,56,가을방,4,6,80000,0,,,
224,56,겨울방,8,10,150000,0,,,
225,57,봄방,2,4,50000,0,,,
226,57,여름방,2,6,70000,0,,,
227,57,가을방,4,6,80000,0,,,
228,57,겨울방,8,10,150000,0,,,
229,58,봄방,2,4,50000,0,,,
230,58,여름방,2,6,70000,0,,,
231,58,가을방,4,6,80000,0,,,
232,58,겨울방,8,10,150000,0,,,
233,59,봄방,2,4,50000,0,,,
234,59,여름방,2,6,70000,0,,,
235,59,가을방,4,6,80000,0,,,
236,59,겨울방,8,10,150000,0,,,
237,60,봄방,2,4,50000,0,,,
238,60,여름방,2,6,70000,0,,,
239,60,가을방,4,6,80000,0,,,
240,60,겨울방,8,10,150000,0,,,
241,61,봄방,2,4,50000,0,,,
242,61,여름방,2,6,70000,0,,,
243,61,가을방,4,6,80000,0,,,
244,61,겨울방,8,10,150000,0,,,
245,62,봄방,2,4,50000,0,,,
246,62,여름방,2,6,70000,0,,,
247,62,가을방,4,6,80000,0,,,
248,62,겨울방,8,10,150000,0,,,
249,63,봄방,2,4,50000,0,,,
250,63,여름방,2,6,70000,0,,,
251,63,가을방,4,6,80000,0,,,
252,63,겨울방,8,10,150000,0,,,
253,64,봄방,2,4,50000,0,,,
254,64,여름방,2,6,70000,0,,,
255,64,가을방,4,6,80000,0,,,
256,64,겨울방,8,10,150000,0,,,
257,65,봄방,2,4,50000,0,,,
258,65,여름방,2,6,70000,0,,,
259,65,가을방,4,6,80000,0,,,
260,65,겨울방,8,10,150000,0,,,
261,66,봄방,2,4,50000,0,,,
262,66,여름방,2,6,70000,0,,,
263,66,가을방,4,6,80000,0,,,
264,66,겨울방,8,10,150000,0,,,
265,67,봄방,2,4,50000,0,,,
266,67,여름방,2,6,70000,0,,,
267,67,가을방,4,6,80000,0,,,
268,67,겨울방,8,10,150000,0,,,
269,68,봄방,2,4,50000,0,,,
270,68,여름방,2,6,70000,0,,,
271,68,가을방,4,6,80000,0,,,
272,68,겨울방,8,10,150000,0,,,
273,69,봄방,2,4,50000,0,,,
274,69,여름방,2,6,70000,0,,,
275,69,가을방,4,6,80000,0,,,
276,69,겨울방,8,10,150000,0,,,
277,70,봄방,2,4,50000,0,,,
278,70,여름방,2,6,70000,0,,,
279,70,가을방,4,6,80000,0,,,
280,70,겨울방,8,10,150000,0,,,
281,71,봄방,2,4,50000,0,,,
282,71,여름방,2,6,70000,0,,,
283,71,가을방,4,6,80000,0,,,
284,71,겨울방,8,10,150000,0,,,
285,72,봄방,2,4,50000,0,,,
286,72,여름방,2,6,70000,0,,,
287,72,가을방,4,6,80000,0,,,
288,72,겨울방,8,10,150000,0,,,
289,73,봄방,2,4,50000,0,,,
290,73,여름방,2,6,70000,0,,,
291,73,가을방,4,6,80000,0,,,
292,73,겨울방,8,10,150000,0,,,
293,74,봄방,2,4,50000,0,,,
294,74,여름방,2,6,70000,0,,,
295,74,가을방,4,6,80000,0,,,
296,74,겨울방,8,10,150000,0,,,
297,75,봄방,2,4,50000,0,,,
298,75,여름방,2,6,70000,0,,,
299,75,가을방,4,6,80000,0,,,
300,75,겨울방,8,10,150000,0,,,
301,76,봄방,2,4,50000,0,,,
302,76,여름방,2,6,70000,0,,,
303,76,가을방,4,6,80000,0,,,
304,76,겨울방,8,10,150000,0,,,
305,77,봄방,2,4,50000,0,,,
306,77,여름방,2,6,70000,0,,,
307,77,가을방,4,6,80000,0,,,
308,77,겨울방,8,10,150000,0,,,
309,78,봄방,2,4,50000,0,,,
310,78,여름방,2,6,70000,0,,,
311,78,가을방,4,6,80000,0,,,
312,78,겨울방,8,10,150000,0,,,
313,79,봄방,2,4,50000,0,,,
314,79,여름방,2,6,70000,0,,,
315,79,가을방,4,6,80000,0,,,
316,79,겨울방,8,10,150000,0,,,
317,80,봄방,2,4,50000,0,,,
318,80,여름방,2,6,70000,0,,,
319,80,가을방,4,6,80000,0,,,
320,80,겨울방,8,10,150000,0,,,
321,81,봄방,2,4,50000,0,,,
322,81,여름방,2,6,70000,0,,,
323,81,가을방,4,6,80000,0,,,
324,81,겨울방,8,10,150000,0,,,
325,82,봄방,2,4,50000,0,,,
326,82,여름방,2,6,70000,0,,,
327,82,가을방,4,6,80000,0,,,
328,82,겨울방,8,10,150000,0,,,
329,83,봄방,2,4,50000,0,,,
330,83,여름방,2,6,70000,0,,,
331,83,가을방,4,6,80000,0,,,
332,83,겨울방,8,10,150000,0,,,
333,84,봄방,2,4,50000,0,,,
334,84,여름방,2,6,70000,0,,,
335,84,가을방,4,6,80000,0,,,
336,84,겨울방,8,10,150000,0,,,
337,85,봄방,2,4,50000,0,,,
338,85,여름방,2,6,70000,0,,,
339,85,가을방,4,6,80000,0,,,
340,85,겨울방,8,10,150000,0,,,
341,86,봄방,2,4,50000,0,,,
342,86,여름방,2,6,70000,0,,,
343,86,가을방,4,6,80000,0,,,
344,86,겨울방,8,10,150000,0,,,
345,87,봄방,2,4,50000,0,,,
346,87,여름방,2,6,70000,0,,,
347,87,가을방,4,6,80000,0,,,
348,87,겨울방,8,10,150000,0,,,
349,88,봄방,2,4,50000,0,,,
350,88,여름방,2,6,70000,0,,,
351,88,가을방,4,6,80000,0,,,
352,88,겨울방,8,10,150000,0,,,
353,89,봄방,2,4,50000,0,,,
354,89,여름방,2,6,70000,0,,,
355,89,가을방,4,6,80000,0,,,
356,89,겨울방,8,10,150000,0,,,
357,90,봄방,2,4,50000,0,,,
358,90,여름방,2,6,70000,0,,,
359,90,가을방,4,6,80000,0,,,
360,90,겨울방,8,10,150000,0,,,
361,91,봄방,2,4,50000,0,,,
362,91,여름방,2,6,70000,0,,,
363,91,가을방,4,6,80000,0,,,
364,91,겨울방,8,10,150000,0,,,
365,92,봄방,2,4,50000,0,,,
366,92,여름방,2,6,70000,0,,,
367,92,가을방,4,6,80000,0,,,
368,92,겨울방,8,10,150000,0,,,
369,93,봄방,2,4,50000,0,,,
370,93,여름방,2,6,70000,0,,,
371,93,가을방,4,6,80000,0,,,
372,93,겨울방,8,10,150000,0,,,
373,94,봄방,2,4,50000,0,,,
374,94,여름방,2,6,70000,0,,,
375,94,가을방,4,6,80000,0,,,
376,94,겨울방,8,10,150000,0,,,
377,95,봄방,2,4,50000,0,,,
378,95,여름방,2,6,70000,0,,,
379,95,가을방,4,6,80000,0,,,
380,95,겨울방,8,10,150000,0,,,
381,96,봄방,2,4,50000,0,,,
382,96,여름방,2,6,70000,0,,,
383,96,가을방,4,6,80000,0,,,
384,96,겨울방,8,10,150000,0,,,
385,97,봄방,2,4,50000,0,,,
386,97,여름방,2,6,70000,0,,,
387,97,가을방,4,6,80000,0,,,
388,97,겨울방,8,10,150000,0,,,
389,98,봄방,2,4,50000,0,,,
390,98,여름방,2,6,70000,0,,,
391,98,가을방,4,6,80000,0,,,
392,98,겨울방,8,10,150000,0,,,
393,99,봄방,2,4,50000,0,,,
394,99,여름방,2,6,70000,0,,,
395,99,가을방,4,6,80000,0,,,
396,99,겨울방,8,10,150000,0,,,
397,100,봄방,2,4,50000,0,,,
398,100,여름방,2,6,70000,0,,,
399,100,가을방,4,6,80000,0,,,
400,100,겨울방,8,10,150000,0,,,
401,101,봄방,2,4,50000,0,,,
402,101,여름방,2,6,70000,0,,,
403,101,가을방,4,6,80000,0,,,
404,101,겨울방,8,10,150000,0,,,
405,102,봄방,2,4,50000,0,,,
406,102,여름방,2,6,70000,0,,,
407,102,가을방,4,6,80000,0,,,
408,102,겨울방,8,10,150000,0,,,
409,103,봄방,2,4,50000,0,,,
410,103,여름방,2,6,70000,0,,,
411,103,가을방,4,6,80000,0,,,
412,103,겨울방,8,10,150000,0,,,
413,104,봄방,2,4,50000,0,,,
414,104,여름방,2,6,70000,0,,,
415,104,가을방,4,6,80000,0,,,
416,104,겨울방,8,10,150000,0,,,
417,105,봄방,2,4,50000,0,,,
418,105,여름방,2,6,70000,0,,,
419,105,가을방,4,6,80000,0,,,
420,105,겨울방,8,10,150000,0,,,
421,106,봄방,2,4,50000,0,,,
422,106,여름방,2,6,70000,0,,,
423,106,가을방,4,6,80000,0,,,
424,106,겨울방,8,10,150000,0,,,
425,107,봄방,2,4,50000,0,,,
426,107,여름방,2,6,70000,0,,,
427,107,가을방,4,6,80000,0,,,
428,107,겨울방,8,10,150000,0,,,
429,108,봄방,2,4,50000,0,,,
430,108,여름방,2,6,70000,0,,,
431,108,가을방,4,6,80000,0,,,
432,108,겨울방,8,10,150000,0,,,
433,109,봄방,2,4,50000,0,,,
434,109,여름방,2,6,70000,0,,,
435,109,가을방,4,6,80000,0,,,
436,109,겨울방,8,10,150000,0,,,
437,110,봄방,2,4,50000,0,,,
438,110,여름방,2,6,70000,0,,,
439,110,가을방,4,6,80000,0,,,
440,110,겨울방,8,10,150000,0,,,
441,111,봄방,2,4,50000,0,,,
442,111,여름방,2,6,70000,0,,,
443,111,가을방,4,6,80000,0,,,
444,111,겨울방,8,10,150000,0,,,
445,112,봄방,2,4,50000,0,,,
446,112,여름방,2,6,70000,0,,,
447,112,가을방,4,6,80000,0,,,
448,112,겨울방,8,10,150000,0,,,
449,113,봄방,2,4,50000,0,,,
450,113,여름방,2,6,70000,0,,,
451,113,가을방,4,6,80000,0,,,
452,113,겨울방,8,10,150000,0,,,
453,114,봄방,2,4,50000,0,,,
454,114,여름방,2,6,70000,0,,,
455,114,가을방,4,6,80000,0,,,
456,114,겨울방,8,10,150000,0,,,
457,115,봄방,2,4,50000,0,,,
458,115,여름방,2,6,70000,0,,,
459,115,가을방,4,6,80000,0,,,
460,115,겨울방,8,10,150000,0,,,
461,116,봄방,2,4,50000,0,,,
462,116,여름방,2,6,70000,0,,,
463,116,가을방,4,6,80000,0,,,
464,116,겨울방,8,10,150000,0,,,
465,117,봄방,2,4,50000,0,,,
466,117,여름방,2,6,70000,0,,,
467,117,가을방,4,6,80000,0,,,
468,117,겨울방,8,10,150000,0,,,
469,118,봄방,2,4,50000,0,,,
470,118,여름방,2,6,70000,0,,,
471,118,가을방,4,6,80000,0,,,
472,118,겨울방,8,10,150000,0,,,
473,119,봄방,2,4,50000,0,,,
474,119,여름방,2,6,70000,0,,,
475,119,가을방,4,6,80000,0,,,
476,119,겨울방,8,10,150000,0,,,
477,120,봄방,2,4,50000,0,,,
478,120,여름방,2,6,70000,0,,,
479,120,가을방,4,6,80000,0,,,
480,120,겨울방,8,10,150000,0,,,
481,121,봄방,2,4,50000,0,,,
482,121,여름방,2,6,70000,0,,,
483,121,가을방,4,6,80000,0,,,
484,121,겨울방,8,10,150000,0,,,
485,122,봄방,2,4,50000,0,,,
486,122,여름방,2,6,70000,0,,,
487,122,가을방,4,6,80000,0,,,
488,122,겨울방,8,10,150000,0,,,
489,123,봄방,2,4,50000,0,,,
490,123,여름방,2,6,70000,0,,,
491,123,가을방,4,6,80000,0,,,
492,123,겨울방,8,10,150000,0,,,
493,124,봄방,2,4,50000,0,,,
494,124,여름방,2,6,70000,0,,,
495,124,가을방,4,6,80000,0,,,
496,124,겨울방,8,10,150000,0,,,
497,125,봄방,2,4,50000,0,,,
498,125,여름방,2,6,70000,0,,,
499,125,가을방,4,6,80000,0,,,
500,125,겨울방,8,10,150000,0,,,
501,126,봄방,2,4,50000,0,,,
502,126,여름방,2,6,70000,0,,,
503,126,가을방,4,6,80000,0,,,
504,126,겨울방,8,10,150000,0,,,
505,127,봄방,2,4,50000,0,,,
506,127,여름방,2,6,70000,0,,,
507,127,가을방,4,6,80000,0,,,
508,127,겨울방,8,10,150000,0,,,
509,128,봄방,2,4,50000,0,,,
510,128,여름방,2,6,70000,0,,,
511,128,가을방,4,6,80000,0,,,
512,128,겨울방,8,10,150000,0,,,
513,129,봄방,2,4,50000,0,,,
514,129,여름방,2,6,70000,0,,,
515,129,가을방,4,6,80000,0,,,
516,129,겨울방,8,10,150000,0,,,
517,130,봄방,2,4,50000,0,,,
518,130,여름방,2,6,70000,0,,,
519,130,가을방,4,6,80000,0,,,
520,130,겨울방,8,10,150000,0,,,
521,131,봄방,2,4,50000,0,,,
522,131,여름방,2,6,70000,0,,,
523,131,가을방,4,6,80000,0,,,
524,131,겨울방,8,10,150000,0,,,
525,132,봄방,2,4,50000,0,,,
526,132,여름방,2,6,70000,0,,,
527,132,가을방,4,6,80000,0,,,
528,132,겨울방,8,10,150000,0,,,
529,133,봄방,2,4,50000,0,,,
530,133,여름방,2,6,70000,0,,,
531,133,가을방,4,6,80000,0,,,
532,133,겨울방,8,10,150000,0,,,
533,134,봄방,2,4,50000,0,,,
534,134,여름방,2,6,70000,0,,,
535,134,가을방,4,6,80000,0,,,
536,134,겨울방,8,10,150000,0,,,
537,135,봄방,2,4,50000,0,,,
538,135,여름방,2,6,70000,0,,,
539,135,가을방,4,6,80000,0,,,
540,135,겨울방,8,10,150000,0,,,
541,136,봄방,2,4,50000,0,,,
542,136,여름방,2,6,70000,0,,,
543,136,가을방,4,6,80000,0,,,
544,136,겨울방,8,10,150000,0,,,
545,137,봄방,2,4,50000,0,,,
546,137,여름방,2,6,70000,0,,,
547,137,가을방,4,6,80000,0,,,
548,137,겨울방,8,10,150000,0,,,
549,138,봄방,2,4,50000,0,,,
550,138,여름방,2,6,70000,0,,,
551,138,가을방,4,6,80000,0,,,
552,138,겨울방,8,10,150000,0,,,
553,139,봄방,2,4,50000,0,,,
554,139,여름방,2,6,70000,0,,,
555,139,가을방,4,6,80000,0,,,
556,139,겨울방,8,10,150000,0,,,
557,140,봄방,2,4,50000,0,,,
558,140,여름방,2,6,70000,0,,,
559,140,가을방,4,6,80000,0,,,
560,140,겨울방,8,10,150000,0,,,
561,141,봄방,2,4,50000,0,,,
562,141,여름방,2,6,70000,0,,,
563,141,가을방,4,6,80000,0,,,
564,141,겨울방,8,10,150000,0,,,
565,142,봄방,2,4,50000,0,,,
566,142,여름방,2,6,70000,0,,,
567,142,가을방,4,6,80000,0,,,
568,142,겨울방,8,10,150000,0,,,
569,143,봄방,2,4,50000,0,,,
570,143,여름방,2,6,70000,0,,,
571,143,가을방,4,6,80000,0,,,
572,143,겨울방,8,10,150000,0,,,
573,144,봄방,2,4,50000,0,,,
574,144,여름방,2,6,70000,0,,,
575,144,가을방,4,6,80000,0,,,
576,144,겨울방,8,10,150000,0,,,
577,145,봄방,2,4,50000,0,,,
578,145,여름방,2,6,70000,0,,,
579,145,가을방,4,6,80000,0,,,
580,145,겨울방,8,10,150000,0,,,
581,146,봄방,2,4,50000,0,,,
582,146,여름방,2,6,70000,0,,,
583,146,가을방,4,6,80000,0,,,
584,146,겨울방,8,10,150000,0,,,
585,147,봄방,2,4,50000,0,,,
586,147,여름방,2,6,70000,0,,,
587,147,가을방,4,6,80000,0,,,
588,147,겨울방,8,10,150000,0,,,
589,148,봄방,2,4,50000,0,,,
590,148,여름방,2,6,70000,0,,,
591,148,가을방,4,6,80000,0,,,
592,148,겨울방,8,10,150000,0,,,
593,149,봄방,2,4,50000,0,,,
594,149,여름방,2,6,70000,0,,,
595,149,가을방,4,6,80000,0,,,
596,149,겨울방,8,10,150000,0,,,
597,150,봄방,2,4,50000,0,,,
598,150,여름방,2,6,70000,0,,,
599,150,가을방,4,6,80000,0,,,
600,150,겨울방,8,10,150000,0,,,
601,151,봄방,2,4,50000,0,,,
602,151,여름방,2,6,70000,0,,,
603,151,가을방,4,6,80000,0,,,
604,151,겨울방,8,10,150000,0,,,
605,152,봄방,2,4,50000,0,,,
606,152,여름방,2,6,70000,0,,,
607,152,가을방,4,6,80000,0,,,
608,152,겨울방,8,10,150000,0,,,
609,153,봄방,2,4,50000,0,,,
610,153,여름방,2,6,70000,0,,,
611,153,가을방,4,6,80000,0,,,
612,153,겨울방,8,10,150000,0,,,
613,154,봄방,2,4,50000,0,,,
614,154,여름방,2,6,70000,0,,,
615,154,가을방,4,6,80000,0,,,
616,154,겨울방,8,10,150000,0,,,
617,155,봄방,2,4,50000,0,,,
618,155,여름방,2,6,70000,0,,,
619,155,가을방,4,6,80000,0,,,
620,155,겨울방,8,10,150000,0,,,
621,156,봄방,2,4,50000,0,,,
622,156,여름방,2,6,70000,0,,,
623,156,가을방,4,6,80000,0,,,
624,156,겨울방,8,10,150000,0,,,
625,157,봄방,2,4,50000,0,,,
626,157,여름방,2,6,70000,0,,,
627,157,가을방,4,6,80000,0,,,
628,157,겨울방,8,10,150000,0,,,
629,158,봄방,2,4,50000,0,,,
630,158,여름방,2,6,70000,0,,,
631,158,가을방,4,6,80000,0,,,
632,158,겨울방,8,10,150000,0,,,
633,159,봄방,2,4,50000,0,,,
634,159,여름방,2,6,70000,0,,,
635,159,가을방,4,6,80000,0,,,
636,159,겨울방,8,10,150000,0,,,
637,160,봄방,2,4,50000,0,,,
638,160,여름방,2,6,70000,0,,,
639,160,가을방,4,6,80000,0,,,
640,160,겨울방,8,10,150000,0,,,
641,161,봄방,2,4,50000,0,,,
642,161,여름방,2,6,70000,0,,,
643,161,가을방,4,6,80000,0,,,
644,161,겨울방,8,10,150000,0,,,
645,162,봄방,2,4,50000,0,,,
646,162,여름방,2,6,70000,0,,,
647,162,가을방,4,6,80000,0,,,
648,162,겨울방,8,10,150000,0,,,
649,163,봄방,2,4,50000,0,,,
650,163,여름방,2,6,70000,0,,,
651,163,가을방,4,6,80000,0,,,
652,163,겨울방,8,10,150000,0,,,
653,164,봄방,2,4,50000,0,,,
654,164,여름방,2,6,70000,0,,,
655,164,가을방,4,6,80000,0,,,
656,164,겨울방,8,10,150000,0,,,
657,165,봄방,2,4,50000,0,,,
658,165,여름방,2,6,70000,0,,,
659,165,가을방,4,6,80000,0,,,
660,165,겨울방,8,10,150000,0,,,
661,166,봄방,2,4,50000,0,,,
662,166,여름방,2,6,70000,0,,,
663,166,가을방,4,6,80000,0,,,
664,166,겨울방,8,10,150000,0,,,
665,167,봄방,2,4,50000,0,,,
666,167,여름방,2,6,70000,0,,,
667,167,가을방,4,6,80000,0,,,
668,167,겨울방,8,10,150000,0,,,
669,168,봄방,2,4,50000,0,,,
670,168,여름방,2,6,70000,0,,,
671,168,가을방,4,6,80000,0,,,
672,168,겨울방,8,10,150000,0,,,
673,169,봄방,2,4,50000,0,,,
674,169,여름방,2,6,70000,0,,,
675,169,가을방,4,6,80000,0,,,
676,169,겨울방,8,10,150000,0,,,
677,170,봄방,2,4,50000,0,,,
678,170,여름방,2,6,70000,0,,,
679,170,가을방,4,6,80000,0,,,
680,170,겨울방,8,10,150000,0,,,
681,171,봄방,2,4,50000,0,,,
682,171,여름방,2,6,70000,0,,,
683,171,가을방,4,6,80000,0,,,
684,171,겨울방,8,10,150000,0,,,
685,172,봄방,2,4,50000,0,,,
686,172,여름방,2,6,70000,0,,,
687,172,가을방,4,6,80000,0,,,
